,Match_number,Match_venue,Match_time,Toss_winner,Toss_decision,Team1,Team1_score,Team2,Team2_score,Winning_team,Winning_margin,year,Stadium,City
516,53rd match,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Evening,Kings XI Punjab,Bat,Kings XI Punjab,130,Chennai Super Kings,134,Chennai Super Kings,7 wickets ,2015,Punjab Cricket Association Stadium, Mohali
517,54th match,"Brabourne Stadium, Mumbai",Night,Rajasthan Royals,Bat,Rajasthan Royals,199,Kolkata Knight Riders,190,Rajasthan Royals,9 runs,2015,Brabourne Stadium, Mumbai
518,55th match,"M Chinnaswamy Stadium, Bangalore",Evening,Royal Challengers Bangalore,Field,Delhi Daredevils,187,RCB,2,Match Cancelled,Match Cancelled,2015,M Chinnaswamy Stadium, Bangalore
519,56th match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Sunrisers Hyderabad,Bat,Sunrisers Hyderabad,113,Mumbai Indians,114,Mumbai Indians,9 wickets ,2015,Rajiv Gandhi International Stadium, Uppal
520,Qualifier 1,"Wankhede Stadium, Mumbai",Night,Mumbai Indians,Bat,Mumbai Indians,187,Chennai Super Kings,162,Mumbai Indians,25 runs,2015,Wankhede Stadium, Mumbai
521,Eliminator,"Maharashtra Cricket Association Stadium, Pune",Night,Royal Challengers Bangalore,Bat,RCB,180,Rajasthan Royals,109,Royal Challengers Bangalore,71 runs,2015,Maharashtra Cricket Association Stadium, Pune
522,Qualifier 2,"JSCA International Stadium Complex, Ranchi",Night,Chennai Super Kings,Field,RCB,139,Chennai Super Kings,140,Chennai Super Kings,3 wickets ,2015,JSCA International Stadium Complex, Ranchi
523,Final,"Eden Gardens, Kolkata",Night,Chennai Super Kings,Field,Mumbai Indians,202,Chennai Super Kings,161,Mumbai Indians,41 runs,2015,Eden Gardens, Kolkata
524,1st match,"Wankhede Stadium, Mumbai",Night,Mumbai Indians,Bat,Mumbai Indians,121,Pune Warriors,126,Pune Warriors,9 wickets ,2016,Wankhede Stadium, Mumbai
525,2nd match,"Eden Gardens, Kolkata",Night,Kolkata Knight Riders,Field,Delhi Daredevils,98,Kolkata Knight Riders,99,Kolkata Knight Riders,9 wickets ,2016,Eden Gardens, Kolkata
