,Match_number,Match_venue,Match_time,Toss_winner,Toss_decision,Team1,Team1_score,Team2,Team2_score,Winning_team,Winning_margin,year,Stadium,City
610,27th match,"Eden Gardens, Kolkata",Night,Royal Challengers Bangalore,Field,Kolkata Knight Riders,131,RCB,49,Kolkata Knight Riders,82 runs,2017,Eden Gardens, Kolkata
611,28th match,"Wankhede Stadium, Mumbai",Night,Mumbai Indians,Field,Pune Warriors,160,Mumbai Indians,157,Pune Warriors,3 runs,2017,Wankhede Stadium, Mumbai
612,29th match,"M Chinnaswamy Stadium, Bangalore",Night,no toss,Match Cancelled,RCB,0,Sunrisers Hyderabad,0,Match cancelled,Match cancelled,2017,M Chinnaswamy Stadium, Bangalore
613,30th match,"Maharashtra Cricket Association Stadium, Pune",Night,Kolkata Knight Riders,Field,Pune Warriors,182,Kolkata Knight Riders,184,Kolkata Knight Riders,7 wickets ,2017,Maharashtra Cricket Association Stadium, Pune
614,31st match,"M Chinnaswamy Stadium, Bangalore",Night,Gujarat Lions,Field,RCB,134,Gujarat Lions,135,Gujarat Lions,7 wickets ,2017,M Chinnaswamy Stadium, Bangalore
615,32nd match,"Eden Gardens, Kolkata",Evening,Kolkata Knight Riders,Field,Delhi Daredevils,160,Kolkata Knight Riders,161,Kolkata Knight Riders,7 wickets ,2017,Eden Gardens, Kolkata
616,33rd match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Night,Kings XI Punjab,Field,Sunrisers Hyderabad,207,Kings XI Punjab,181,Sunrisers Hyderabad,26 runs,2017,Punjab Cricket Association IS Bindra Stadium, Mohali
617,34th match,"Maharashtra Cricket Association Stadium, Pune",Evening,Royal Challengers Bangalore,Field,Pune Warriors,157,RCB,96,Pune Warriors,61 runs,2017,Maharashtra Cricket Association Stadium, Pune
618,35th match,"Saurashtra Cricket Association Stadium, Rajkot",Night,Gujarat Lions,Bat,Gujarat Lions,153,Mumbai Indians,153,Match tied ,Match tied ,2017,Saurashtra Cricket Association Stadium, Rajkot
619,36th match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Evening,Kings XI Punjab,Field,Delhi Daredevils,67,Kings XI Punjab,68,Kings XI Punjab,10 wickets ,2017,Punjab Cricket Association IS Bindra Stadium, Mohali
620,37th match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Kolkata Knight Riders,Field,Sunrisers Hyderabad,209,Kolkata Knight Riders,161,Sunrisers Hyderabad,48 runs,2017,Rajiv Gandhi International Stadium, Uppal
621,38th match,"Wankhede Stadium, Mumbai",Evening,Royal Challengers Bangalore,Bat,RCB,162,Mumbai Indians,165,Mumbai Indians,5 wickets ,2017,Wankhede Stadium, Mumbai
622,39th match,"Maharashtra Cricket Association Stadium, Pune",Night,Pune Warriors,Field,Gujarat Lions,161,Pune Warriors,167,Pune Warriors,5 wickets ,2017,Maharashtra Cricket Association Stadium, Pune
623,40th match,"Feroz Shah Kotla, Delhi",Night,Delhi Daredevils,Field,Sunrisers Hyderabad,185,Delhi Daredevils,189,Delhi Daredevils,6 wickets ,2017,Feroz Shah Kotla, Delhi
624,41st match,"Eden Gardens, Kolkata",Night,Pune Warriors,Field,Kolkata Knight Riders,155,Pune Warriors,158,Pune Warriors,4 wickets ,2017,Eden Gardens, Kolkata
625,42nd match,"Feroz Shah Kotla, Delhi",Night,Delhi Daredevils,Field,Gujarat Lions,208,Delhi Daredevils,214,Delhi Daredevils,7 wickets ,2017,Feroz Shah Kotla, Delhi
626,43rd match,"M Chinnaswamy Stadium, Bangalore",Night,Royal Challengers Bangalore,Field,Kings XI Punjab,138,RCB,119,Kings XI Punjab,19 runs,2017,M Chinnaswamy Stadium, Bangalore
627,44th match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Evening,Sunrisers Hyderabad,Field,Pune Warriors,148,Sunrisers Hyderabad,136,Pune Warriors,12 runs,2017,Rajiv Gandhi International Stadium, Uppal
628,45th match,"Feroz Shah Kotla, Delhi",Night,Delhi Daredevils,Field,Mumbai Indians,212,Delhi Daredevils,66,Mumbai Indians,146 runs,2017,Feroz Shah Kotla, Delhi
629,46th match,"M Chinnaswamy Stadium, Bangalore",Evening,Kolkata Knight Riders,Field,RCB,158,Kolkata Knight Riders,159,Kolkata Knight Riders,6 wickets ,2017,M Chinnaswamy Stadium, Bangalore
630,47th match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Night,Gujarat Lions,Field,Kings XI Punjab,189,Gujarat Lions,192,Gujarat Lions,6 wickets ,2017,Punjab Cricket Association IS Bindra Stadium, Mohali
631,48th match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Mumbai Indians,Bat,Mumbai Indians,138,Sunrisers Hyderabad,140,Sunrisers Hyderabad,7 wickets ,2017,Rajiv Gandhi International Stadium, Uppal
632,49th match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Night,Kolkata Knight Riders,Field,Kings XI Punjab,167,Kolkata Knight Riders,153,Kings XI Punjab,14 runs,2017,Punjab Cricket Association IS Bindra Stadium, Mohali
633,50th match,"Green Park, Kanpur",Night,Delhi Daredevils,Field,Gujarat Lions,195,Delhi Daredevils,197,Delhi Daredevils,2 wickets ,2017,Green Park, Kanpur
634,51st match,"Wankhede Stadium, Mumbai",Night,Mumbai Indians,Field,Kings XI Punjab,230,Mumbai Indians,223,Kings XI Punjab,7 runs,2017,Wankhede Stadium, Mumbai
635,52nd match,"Feroz Shah Kotla, Delhi",Night,Delhi Daredevils,Bat,Delhi Daredevils,168,Pune Warriors,161,Delhi Daredevils,7 runs,2017,Feroz Shah Kotla, Delhi
636,53rd match,"Green Park, Kanpur",Evening,Sunrisers Hyderabad,Field,Gujarat Lions,154,Sunrisers Hyderabad,158,Sunrisers Hyderabad,8 wickets ,2017,Green Park, Kanpur
637,54th match,"Eden Gardens, Kolkata",Night,Kolkata Knight Riders,Field,Mumbai Indians,173,Kolkata Knight Riders,164,Mumbai Indians,9 runs,2017,Eden Gardens, Kolkata
638,55th match,"Maharashtra Cricket Association Stadium, Pune",Evening,Pune Warriors,Field,Kings XI Punjab,73,Pune Warriors,78,Pune Warriors,9 wickets ,2017,Maharashtra Cricket Association Stadium, Pune
639,56th match,"Feroz Shah Kotla, Delhi",Night,Royal Challengers Bangalore,Bat,RCB,161,Delhi Daredevils,151,Royal Challengers Bangalore,10 runs,2017,Feroz Shah Kotla, Delhi
640,Qualifier 1,"Wankhede Stadium, Mumbai",Night,Mumbai Indians,Field,Pune Warriors,162,Mumbai Indians,142,Pune Warriors,20 runs,2017,Wankhede Stadium, Mumbai
641,Eliminator,"M Chinnaswamy Stadium, Bangalore",Night,Kolkata Knight Riders,Field,Sunrisers Hyderabad,128,Kolkata Knight Riders,48,Kolkata Knight Riders,7 wickets ,2017,M Chinnaswamy Stadium, Bangalore
642,Qualifier 2,"M Chinnaswamy Stadium, Bangalore",Night,Mumbai Indians,Field,Kolkata Knight Riders,107,Mumbai Indians,111,Mumbai Indians,6 wickets ,2017,M Chinnaswamy Stadium, Bangalore
643,Final,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Mumbai Indians,Bat,Mumbai Indians,129,Pune Warriors,128,Mumbai Indians,1 run,2017,Rajiv Gandhi International Stadium, Uppal
644,1st match,"Wankhede Stadium, Mumbai",Night,Chennai Super Kings,Field,Mumbai Indians,165,Chennai Super Kings,169,Chennai Super Kings,1 wicket ,2018,Wankhede Stadium, Mumbai
645,2nd match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Evening,Kings XI Punjab,Field,Delhi Daredevils,166,Kings XI Punjab,167,Kings XI Punjab,6 wickets ,2018,Punjab Cricket Association IS Bindra Stadium, Mohali
646,3rd match,"Eden Gardens, Kolkata",Night,Kolkata Knight Riders,Field,RCB,176,Kolkata Knight Riders,177,Kolkata Knight Riders,4 wickets ,2018,Eden Gardens, Kolkata
647,4th match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Sunrisers Hyderabad,Field,Rajasthan Royals,125,Sunrisers Hyderabad,127,Sunrisers Hyderabad,9 wickets ,2018,Rajiv Gandhi International Stadium, Uppal
648,5th match,"MA Chidambaram Stadium,Chennai, Chennai",Night,Chennai Super Kings,Field,Kolkata Knight Riders,202,Chennai Super Kings,205,Chennai Super Kings,5 wickets ,2018,MA Chidambaram Stadium,Chennai
649,6th match,"Sawai Mansingh Stadium, Jaipur",Night,Delhi Daredevils,Field,Rajasthan Royals,153,Delhi Daredevils,60,Rajasthan Royals,10 runs ,2018,Sawai Mansingh Stadium, Jaipur
650,7th match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Sunrisers Hyderabad,Field,Mumbai Indians,147,Sunrisers Hyderabad,151,Sunrisers Hyderabad,1 wicket ,2018,Rajiv Gandhi International Stadium, Uppal
651,8th match,"M Chinnaswamy Stadium, Bengaluru",Night,Royal Challengers Bangalore,Field,Kings XI Punjab,155,RCB,159,Royal Challengers Bangalore,4 wickets ,2018,M Chinnaswamy Stadium, Bengaluru
652,9th match,"Wankhede Stadium, Mumbai",Evening,Delhi Daredevils,Field,Mumbai Indians,194,Delhi Daredevils,195,Delhi Daredevils,7 wickets ,2018,Wankhede Stadium, Mumbai
653,10th match,"Eden Gardens, Kolkata",Night,Sunrisers Hyderabad,Field,Kolkata Knight Riders,138,Sunrisers Hyderabad,139,Sunrisers Hyderabad,5 wickets ,2018,Eden Gardens, Kolkata
654,11th match,"M Chinnaswamy Stadium, Bengaluru",Evening,Royal Challengers Bangalore,Field,Rajasthan Royals,217,RCB,198,Rajasthan Royals,19 runs,2018,M Chinnaswamy Stadium, Bengaluru
655,12th match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Night,Chennai Super Kings,Field,Kings XI Punjab,197,Chennai Super Kings,193,Kings XI Punjab,4 runs,2018,Punjab Cricket Association IS Bindra Stadium, Mohali
656,13th match,"Eden Gardens, Kolkata",Night,Delhi Daredevils,Field,Kolkata Knight Riders,200,Delhi Daredevils,129,Kolkata Knight Riders,71 runs,2018,Eden Gardens, Kolkata
657,14th match,"Wankhede Stadium, Mumbai",Night,Royal Challengers Bangalore,Field,Mumbai Indians,213,RCB,167,Mumbai Indians,46 runs,2018,Wankhede Stadium, Mumbai
658,15th match,"Sawai Mansingh Stadium, Jaipur",Night,Kolkata Knight Riders,Field,Rajasthan Royals,160,Kolkata Knight Riders,163,Kolkata Knight Riders,7 wickets ,2018,Sawai Mansingh Stadium, Jaipur
659,16th match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Night,Kings XI Punjab,Bat,Kings XI Punjab,193,Sunrisers Hyderabad,178,Kings XI Punjab,15 runs,2018,Punjab Cricket Association IS Bindra Stadium, Mohali
660,17th match,"Maharashtra Cricket Association Stadium, Pune",Night,Rajasthan Royals,Field,Chennai Super Kings,204,Rajasthan Royals,140,Chennai Super Kings,64 runs,2018,Maharashtra Cricket Association Stadium, Pune
661,18th match,"Eden Gardens, Kolkata",Evening,Kings XI Punjab,Field,Kolkata Knight Riders,191,Kings XI Punjab,126,Kings XI Punjab,9 wickets ,2018,Eden Gardens, Kolkata
662,19th match,"M Chinnaswamy Stadium, Bengaluru",Night,Royal Challengers Bangalore,Field,Delhi Daredevils,174,RCB,176,Royal Challengers Bangalore,6 wickets ,2018,M Chinnaswamy Stadium, Bengaluru
663,20th match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Evening,Sunrisers Hyderabad,Field,Chennai Super Kings,182,Sunrisers Hyderabad,178,Chennai Super Kings,4 runs,2018,Rajiv Gandhi International Stadium, Uppal
664,21st match,"Sawai Mansingh Stadium, Jaipur",Night,Mumbai Indians,Bat,Mumbai Indians,167,Rajasthan Royals,168,Rajasthan Royals,3 wickets ,2018,Sawai Mansingh Stadium, Jaipur
665,22nd match,"Feroz Shah Kotla, Delhi",Night,Delhi Daredevils,Field,Kings XI Punjab,143,Delhi Daredevils,139,Kings XI Punjab,4 runs,2018,Feroz Shah Kotla, Delhi
666,23rd match,"Wankhede Stadium, Mumbai",Night,Mumbai Indians,Field,Sunrisers Hyderabad,118,Mumbai Indians,87,Sunrisers Hyderabad,31 runs,2018,Wankhede Stadium, Mumbai
667,24th match,"M Chinnaswamy Stadium, Bengaluru",Night,Chennai Super Kings,Field,RCB,205,Chennai Super Kings,207,Chennai Super Kings,5 wickets ,2018,M Chinnaswamy Stadium, Bengaluru
668,25th match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Kings XI Punjab,Field,Sunrisers Hyderabad,132,Kings XI Punjab,119,Sunrisers Hyderabad,13 runs,2018,Rajiv Gandhi International Stadium, Uppal
669,26th match,"Feroz Shah Kotla, Delhi",Night,Kolkata Knight Riders,Field,Delhi Daredevils,219,Kolkata Knight Riders,164,Delhi Daredevils,55 runs,2018,Feroz Shah Kotla, Delhi
670,27th match,"Maharashtra Cricket Association Stadium, Pune",Night,Mumbai Indians,Field,Chennai Super Kings,169,Mumbai Indians,170,Mumbai Indians,8 wickets ,2018,Maharashtra Cricket Association Stadium, Pune
671,28th match,"Sawai Mansingh Stadium, Jaipur",Evening,Sunrisers Hyderabad,Bat,Sunrisers Hyderabad,151,Rajasthan Royals,140,Sunrisers Hyderabad,11 runs,2018,Sawai Mansingh Stadium, Jaipur
672,29th match,"M Chinnaswamy Stadium, Bengaluru",Night,Kolkata Knight Riders,Field,RCB,175,Kolkata Knight Riders,176,Kolkata Knight Riders,6 wickets ,2018,M Chinnaswamy Stadium, Bengaluru
673,30th match,"Maharashtra Cricket Association Stadium, Pune",Night,Delhi Daredevils,Field,Chennai Super Kings,211,Delhi Daredevils,198,Chennai Super Kings,13 runs,2018,Maharashtra Cricket Association Stadium, Pune
674,31st match,"M Chinnaswamy Stadium, Bengaluru",Night,Mumbai Indians,Field,RCB,167,Mumbai Indians,153,Royal Challengers Bangalore,14 runs,2018,M Chinnaswamy Stadium, Bengaluru
675,32nd match,"Feroz Shah Kotla, Delhi",Night,Rajasthan Royals,Field,Delhi Daredevils,196,Rajasthan Royals,146,Delhi Daredevils,4 runs ,2018,Feroz Shah Kotla, Delhi
676,33rd match,"Eden Gardens, Kolkata",Night,Kolkata Knight Riders,Field,Chennai Super Kings,177,Kolkata Knight Riders,180,Kolkata Knight Riders,6 wickets ,2018,Eden Gardens, Kolkata
677,34th match,"Holkar Cricket Stadium, Indore",Night,Mumbai Indians,Field,Kings XI Punjab,174,Mumbai Indians,176,Mumbai Indians,6 wickets ,2018,Holkar Cricket Stadium, Indore
678,35th match,"Maharashtra Cricket Association Stadium, Pune",Evening,Chennai Super Kings,Field,RCB,127,Chennai Super Kings,128,Chennai Super Kings,6 wickets ,2018,Maharashtra Cricket Association Stadium, Pune
679,36th match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Delhi Daredevils,Bat,Delhi Daredevils,163,Sunrisers Hyderabad,164,Sunrisers Hyderabad,7 wickets ,2018,Rajiv Gandhi International Stadium, Uppal
680,37th match,"Wankhede Stadium, Mumbai",Evening,Kolkata Knight Riders,Field,Mumbai Indians,181,Kolkata Knight Riders,168,Mumbai Indians,13 runs,2018,Wankhede Stadium, Mumbai
681,38th match,"Holkar Cricket Stadium, Indore",Night,Kings XI Punjab,Field,Rajasthan Royals,152,Kings XI Punjab,155,Kings XI Punjab,6 wickets ,2018,Holkar Cricket Stadium, Indore
682,39th match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Royal Challengers Bangalore,Field,Sunrisers Hyderabad,146,RCB,141,Sunrisers Hyderabad,5 runs,2018,Rajiv Gandhi International Stadium, Uppal
683,40th match,"Sawai Mansingh Stadium, Jaipur",Night,Rajasthan Royals,Bat,Rajasthan Royals,158,Kings XI Punjab,143,Rajasthan Royals,15 runs,2018,Sawai Mansingh Stadium, Jaipur
684,41st match,"Eden Gardens, Kolkata",Night,Kolkata Knight Riders,Field,Mumbai Indians,210,Kolkata Knight Riders,108,Mumbai Indians,102 runs,2018,Eden Gardens, Kolkata
685,42nd match,"Feroz Shah Kotla, Delhi",Night,Delhi Daredevils,Bat,Delhi Daredevils,187,Sunrisers Hyderabad,191,Sunrisers Hyderabad,9 wickets ,2018,Feroz Shah Kotla, Delhi
686,43rd match,"Sawai Mansingh Stadium, Jaipur",Night,Chennai Super Kings,Bat,Chennai Super Kings,176,Rajasthan Royals,177,Rajasthan Royals,4 wickets ,2018,Sawai Mansingh Stadium, Jaipur
687,44th match,"Holkar Cricket Stadium, Indore",Evening,Kings XI Punjab,Field,Kolkata Knight Riders,245,Kings XI Punjab,214,Kolkata Knight Riders,31 runs,2018,Holkar Cricket Stadium, Indore
688,45th match,"Feroz Shah Kotla, Delhi",Night,Royal Challengers Bangalore,Field,Delhi Daredevils,181,RCB,187,Royal Challengers Bangalore,5 wickets ,2018,Feroz Shah Kotla, Delhi
689,46th match,"Maharashtra Cricket Association Stadium, Pune",Evening,Chennai Super Kings,Field,Sunrisers Hyderabad,179,Chennai Super Kings,180,Chennai Super Kings,8 wickets ,2018,Maharashtra Cricket Association Stadium, Pune
690,47th match,"Wankhede Stadium, Mumbai",Night,Rajasthan Royals,Field,Mumbai Indians,168,Rajasthan Royals,171,Rajasthan Royals,7 wickets ,2018,Wankhede Stadium, Mumbai
691,48th match,"Holkar Cricket Stadium, Indore",Night,Royal Challengers Bangalore,Field,Kings XI Punjab,88,RCB,92,Royal Challengers Bangalore,10 wickets ,2018,Holkar Cricket Stadium, Indore
692,49th match,"Eden Gardens, Kolkata",Night,Kolkata Knight Riders,Field,Rajasthan Royals,142,Kolkata Knight Riders,145,Kolkata Knight Riders,6 wickets ,2018,Eden Gardens, Kolkata
693,50th match,"Wankhede Stadium, Mumbai",Night,Kings XI Punjab,Field,Mumbai Indians,186,Kings XI Punjab,183,Mumbai Indians,3 runs,2018,Wankhede Stadium, Mumbai
694,51st match,"M Chinnaswamy Stadium, Bengaluru",Night,Sunrisers Hyderabad,Field,RCB,218,Sunrisers Hyderabad,204,Royal Challengers Bangalore,14 runs,2018,M Chinnaswamy Stadium, Bengaluru
695,52nd match,"Feroz Shah Kotla, Delhi",Night,Chennai Super Kings,Field,Delhi Daredevils,162,Chennai Super Kings,128,Delhi Daredevils,34 runs,2018,Feroz Shah Kotla, Delhi
696,53rd match,"Sawai Mansingh Stadium, Jaipur",Evening,Rajasthan Royals,Bat,Rajasthan Royals,164,RCB,134,Rajasthan Royals,30 runs,2018,Sawai Mansingh Stadium, Jaipur
697,54th match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Sunrisers Hyderabad,Bat,Sunrisers Hyderabad,172,Kolkata Knight Riders,173,Kolkata Knight Riders,5 wickets ,2018,Rajiv Gandhi International Stadium, Uppal
698,55th match,"Feroz Shah Kotla, Delhi",Evening,Delhi Daredevils,Bat,Delhi Daredevils,174,Mumbai Indians,163,Delhi Daredevils,11 runs,2018,Feroz Shah Kotla, Delhi
699,56th match,"Maharashtra Cricket Association Stadium, Pune",Night,Chennai Super Kings,Field,Kings XI Punjab,153,Chennai Super Kings,159,Chennai Super Kings,5 wickets ,2018,Maharashtra Cricket Association Stadium, Pune
700,Qualifier 1,"Wankhede Stadium, Mumbai",Night,Chennai Super Kings,Field,Sunrisers Hyderabad,139,Chennai Super Kings,140,Chennai Super Kings,2 wickets ,2018,Wankhede Stadium, Mumbai
701,Eliminator,"Eden Gardens, Kolkata",Night,Rajasthan Royals,Field,Kolkata Knight Riders,169,Rajasthan Royals,144,Kolkata Knight Riders,25 runs,2018,Eden Gardens, Kolkata
702,Qualifier 2,"Eden Gardens, Kolkata",Night,Kolkata Knight Riders,Field,Sunrisers Hyderabad,174,Kolkata Knight Riders,160,Sunrisers Hyderabad,14 runs,2018,Eden Gardens, Kolkata
703,Final,"Wankhede Stadium, Mumbai",Night,Chennai Super Kings,Field,Sunrisers Hyderabad,178,Chennai Super Kings,181,Chennai Super Kings,8 wickets ,2018,Wankhede Stadium, Mumbai
